Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
19,26.928231065293367,12.58949990133832,19.404686744679985,27.11091421480983,19.260352002819435,34.19131340209447
20,26.892912292657478,11.692586593267313,18.250361595783104,27.08237397761042,17.895194684026198,32.114011677497835
21,26.870490726703107,10.795178353124825,17.28508465820131,27.051947890317525,16.712834898638757,30.330650208543908
22,26.840982670509995,10.187283322646934,16.209688829809792,27.021719191833608,15.610796537252945,28.59641783370379
23,26.813578440559652,9.426460489004816,14.93396215290443,26.99267422165573,14.659344361728337,26.936963674227123
24,26.776954586609953,8.936087498963776,14.261984649161095,26.96412099791509,13.744347602690995,25.330685752467506
25,26.74797906153522,8.423472524703277,13.356976021191873,26.935901157254815,12.926424630736868,23.98443507823145
26,26.722149354493034,7.740327596705109,12.650571128232123,26.90808669798578,12.146742994860544,22.645659444800636
27,26.69343993301269,7.165608985680768,11.877018751311839,26.877903060350828,11.418854895963962,21.409792441756927
28,26.658106623072936,6.832155086975073,11.108437153414023,26.847688663141554,10.728971801478295,20.260261145564623
29,26.62014398873005,6.459050881806867,10.659715533123418,26.81731178206482,10.074245277687401,19.13854865628074
30,26.586354912742774,6.05449262073935,10.021685842438085,26.78731316095868,9.45451167272775,18.106130017534866
31,26.564062281090596,5.699594603407065,9.49233008348305,26.75787159126785,8.845801214991775,17.133091032061095
32,26.53564166241996,5.440562874568209,8.940880473890626,26.727277925316436,8.30258860093881,16.207276202521737
33,26.502596985180215,5.198767677885553,8.47026026862434,26.697936905149437,7.806023099975703,15.351987967695825
34,26.47301490338625,4.85389466979024,8.004470351909028,26.667168725993402,7.366792095392473,14.521396234113483
35,26.436793036926407,4.599082309020539,7.6007408529049245,26.637672639164713,6.94783404020874,13.817331087606822
36,26.40581664999723,4.339312452840371,7.224412703292703,26.60700161893726,6.573721109415865,13.093585113891182
37,26.38497399858893,4.1189081507232155,6.7376382838878985,26.575739310279,6.21537392526365,12.466644048070481
38,26.345044575989046,3.9172185870025906,6.462310588806746,26.545899846468686,5.88890134397958,11.837831221928795
39,26.306947363945714,3.7277857330365576,6.20494827102955,26.51658402766048,5.601633273853012,11.276279467019977
40,26.28288047269192,3.571897110194178,5.92284386092572,26.486824490153673,5.329679722562279,10.710524049471083
41,26.249572440642044,3.41527903210082,5.532665772235665,26.455661550218196,5.061022955496054,10.191792568788248
42,26.21992393451229,3.274399929069217,5.288410631417538,26.423225185259035,4.816017062762723,9.733322118539618
43,26.18900665967367,3.1037079856233243,5.03330518431508,26.392293832526498,4.575274396144028,9.31083245802069
44,26.156695966481692,3.000439956988276,4.856002606062821,26.36117086971612,4.360009585861264,8.887761086708231
45,26.125483188453245,2.9122111533661728,4.651349991638986,26.32983431993044,4.164170045899099,8.494632141717153
46,26.095523371146626,2.802473879941118,4.416058370186088,26.29884011780746,3.982526744107565,8.07869530231437
