Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P, worstReal, worstBinaer1P, worstBinaer2P
92,3.327189991541508,0.0,0.0,3.3271899915416534,0.004009281757240246,0.003952173088014765
93,3.327189991541508,0.0,0.0,3.3271899915416285,0.003952173088014765,0.003952173088014765
94,3.327189991541508,0.0,0.0,3.327189991541618,0.003952173088014765,0.003952173088014765
95,3.327189991541508,0.0,0.0,3.3271899915415912,0.003952173088014765,0.003952173088014765
96,3.327189991541508,0.0,0.0,3.3271899915415757,0.003952173088014765,0.003952173088014765
97,3.327189991541508,0.0,0.0,3.327189991541558,0.003952173088014765,0.003941948840060383
98,3.327189991541508,0.0,0.0,3.327189991541545,0.003952173088014765,0.003941948840060383
99,3.327189991541508,0.0,0.0,3.3271899915415424,0.003952173088014765,0.003941948840060383
100,3.327189991541508,0.0,0.0,3.3271899915415375,0.003952173088014765,0.003941948840060383
101,3.327189991541508,0.0,0.0,3.327189991541532,0.003952173088014765,0.003941948840060383
102,3.327189991541508,0.0,0.0,3.3271899915415246,0.003952173088014765,0.003941948840060383
103,3.327189991541508,0.0,0.0,3.327189991541521,0.003952173088014765,0.003941948840060383
104,3.327189991541508,0.0,0.0,3.3271899915415166,0.003952173088014765,0.003941948840060383
105,3.327189991541508,0.0,0.0,3.3271899915415153,0.003952173088014765,0.003941948840060383
106,3.327189991541508,0.0,0.0,3.3271899915415135,0.003952173088014765,0.003914060862860613
107,3.327189991541508,0.0,0.0,3.3271899915415126,0.003942040392794888,0.003914060862860613
108,3.327189991541508,0.0,0.0,3.3271899915415126,0.003942040392794888,0.003914060862860613
109,3.327189991541508,0.0,0.0,3.3271899915415126,0.0039115200306710785,0.003914060862860613
110,3.3271899915415077,0.0,0.0,3.3271899915415117,0.0039115200306710785,0.0039115200306710785
111,3.3271899915415073,0.0,0.0,3.3271899915415113,0.0039115200306710785,0.0039115200306710785
112,3.3271899915415073,0.0,0.0,3.3271899915415113,0.0039115200306710785,0.0039115200306710785
113,3.3271899915415073,0.0,0.0,3.3271899915415113,0.0039115200306710785,0.0039115200306710785
114,3.3271899915415073,0.0,0.0,3.3271899915415113,0.0026108490822064345,0.0039115200306710785
115,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,0.0039115200306710785
116,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,0.0015285426524621615
117,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,0.0015285426524621615
118,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,9.783566896282014E-4
119,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,9.783566896282014E-4
120,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,6.529241521906481E-4
121,3.327189991541507,0.0,0.0,3.327189991541511,0.0026108490822064345,6.529241521906481E-4
122,3.327189991541507,0.0,0.0,3.327189991541511,9.783566896282014E-4,6.529241521906481E-4
123,3.327189991541507,0.0,0.0,3.327189991541511,9.783566896282014E-4,3.925526943471258E-4
124,3.327189991541507,0.0,0.0,3.327189991541511,9.783566896282014E-4,3.925526943471258E-4
125,3.327189991541507,0.0,0.0,3.327189991541511,4.88729796113696E-4,2.8542093720074213E-4
126,3.327189991541507,0.0,0.0,3.327189991541511,4.88729796113696E-4,2.8542093720074213E-4
127,3.327189991541507,0.0,0.0,3.327189991541511,4.88729796113696E-4,2.8542093720074213E-4
128,3.327189991541507,0.0,0.0,3.327189991541511,4.88729796113696E-4,2.8542093720074213E-4
129,3.327189991541507,0.0,0.0,3.327189991541511,4.88729796113696E-4,2.8542093720074213E-4
130,3.3271899915415064,0.0,0.0,3.3271899915415104,4.88729796113696E-4,2.8542093720074213E-4
131,3.3271899915415064,0.0,0.0,3.3271899915415104,4.88729796113696E-4,2.8542093720074213E-4
132,3.3271899915415064,0.0,0.0,3.3271899915415104,4.88729796113696E-4,2.8542093720074213E-4
133,3.3271899915415064,0.0,0.0,3.3271899915415104,3.925526943471258E-4,2.8542093720074213E-4
134,3.3271899915415064,0.0,0.0,3.3271899915415104,3.925526943471258E-4,2.8542093720074213E-4
135,3.3271899915415064,0.0,0.0,3.3271899915415104,2.446189723043224E-4,2.446189723043224E-4
136,3.3271899915415064,0.0,0.0,3.3271899915415104,2.446189723043224E-4,2.446189723043224E-4
137,3.3271899915415064,0.0,0.0,3.3271899915415104,1.6324428280578562E-4,2.446189723043224E-4
138,3.3271899915415064,0.0,0.0,3.3271899915415104,1.6324428280578562E-4,2.446189723043224E-4
139,3.3271899915415064,0.0,0.0,3.3271899915415104,1.6324428280578562E-4,1.6324428280578562E-4
140,3.327189991541506,0.0,0.0,3.32718999154151,1.225561102434769E-4,1.225561102434769E-4
141,3.327189991541506,0.0,0.0,3.32718999154151,1.225561102434769E-4,1.225561102434769E-4
142,3.327189991541506,0.0,0.0,3.32718999154151,1.225561102434769E-4,1.225561102434769E-4
143,3.327189991541506,0.0,0.0,3.32718999154151,9.814294180321426E-5,1.225561102434769E-4
