Zyklus, bester Fitnesswert Real, Binaer1P, Binaer2P
1299,20.41684853721303,0.0,0.0
634,25.12210551546628,0.9548885259558507,1.1618175166219515
876,23.08487103071962,0.0,0.0
1056,21.80043730374805,0.0,0.0
1298,20.423523419305496,0.0,0.0
635,25.103666678245013,0.9548885259558507,1.1618175166219515
877,23.058126252092475,0.0,0.0
636,25.083686369586758,0.9548885259558507,1.1618175166219515
878,23.058126252092475,0.0,0.0
637,25.083686369586758,0.9548885259558507,1.1618175166219515
879,23.044000543800284,0.0,0.0
638,25.083457471559164,0.9548885259558507,1.1618175166219515
639,25.059410510315892,0.9548885259558507,1.1618175166219515
1077,21.672695921112293,0.0,0.0
1076,21.68031431337134,0.0,0.0
1075,21.69042414054279,0.0,0.0
1074,21.69042414054279,0.0,0.0
1073,21.69981180686083,0.0,0.0
1072,21.69981180686083,0.0,0.0
1071,21.716811243147358,0.0,0.0
1070,21.72029504440278,0.0,0.0
880,23.044000543800284,0.0,0.0
881,23.044000543800284,0.0,0.0
640,25.058989008292876,0.9548885259558507,1.1618175166219515
882,23.03658957517277,0.0,0.0
641,25.045935754984384,0.9548885259558507,1.1618175166219515
883,23.03658957517277,0.0,0.0
400,27.448225663374405,1.403520268132837,2.35637988732205
642,25.01572598119707,0.9548885259558507,1.1618175166219515
884,23.032967305978257,0.0,0.0
401,27.448225663374405,1.403520268132837,2.35637988732205
643,25.01572598119707,0.9548885259558507,1.1618175166219515
885,23.016999692666722,0.0,0.0
1069,21.733154330364503,0.0,0.0
402,27.436066641630283,1.403520268132837,2.35637988732205
644,25.01572598119707,0.9548885259558507,1.1618175166219515
886,23.011649683490774,0.0,0.0
1068,21.73627502400174,0.0,0.0
403,27.403278546380218,1.403520268132837,2.35637988732205
645,25.01572598119707,0.9548885259558507,1.1618175166219515
887,23.00682909834208,0.0,0.0
1067,21.748720286611178,0.0,0.0
404,27.38564036672844,1.403520268132837,2.35637988732205
646,25.01090223850035,0.9548885259558507,1.1618175166219515
888,22.989644190854143,0.0,0.0
405,27.38564036672844,1.3965962921123927,2.35637988732205
647,24.984833012012718,0.9548885259558507,1.1412992008273992
889,22.97982856198716,0.0,0.0
406,27.37695036275654,1.3965962921123927,2.2973566261678995
648,24.984833012012718,0.9548885259558507,1.0902969505324267
407,27.33862766243034,1.3965962921123927,2.2973566261678995
649,24.984833012012718,0.9548885259558507,1.0902969505324267
408,27.33862766243034,1.3965962921123927,2.2973566261678995
409,27.33862766243034,1.3965962921123927,2.2973566261678995
1080,21.66480636692739,0.0,0.0
1088,21.604875939065003,0.0,0.0
1087,21.60526702778164,0.0,0.0
1086,21.60526702778164,0.0,0.0
1085,21.628720697885935,0.0,0.0
1084,21.630487974901623,0.0,0.0
1083,21.64475636341439,0.0,0.0
1082,21.644992714823918,0.0,0.0
890,22.97982856198716,0.0,0.0
1081,21.644992714823918,0.0,0.0
891,22.96072876790633,0.0,0.0
650,24.972764359011727,0.9548885259558507,1.0902969505324267
892,22.95538291254109,0.0,0.0
651,24.955051064117878,0.9548885259558507,1.0902969505324267
893,22.95538291254109,0.0,0.0
410,27.334782734225136,1.3965962921123927,2.2973566261678995
652,24.94535747607381,0.9548885259558507,1.0902969505324267
894,22.933047791147327,0.0,0.0
411,27.32224478003172,1.3062073643741703,2.2973566261678995
653,24.94535747607381,0.9548885259558507,1.0902969505324267
895,22.933047791147327,0.0,0.0
412,27.30478464101566,1.3062073643741703,2.2973566261678995
654,24.94514155345419,0.9548885259558507,1.0902969505324267
896,22.926938194245366,0.0,0.0
